N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link
136,P136,Básico,2,Social,Condiciones de Trabajo y Protección Social,Respetar los derechos laborales de las personas que trabajan en el predio,El predio se asegura de que su personal conozca sus derechos y obligaciones relacionados con la situación contractual con la empresa y las leyes laborales vigentes.,"Son válidos los siguientes documentos.  - Registro de información entregada al personal a través de correos electrónicos, folletos, publicaciones en diarios murales y/o registros de capacitaciones asociadas al tema.  - Registro de entrega del Reglamento interno.  - Registro de inducciones o documento con instrucciones respecto al puesto de trabajo.  En el caso de empresas de menor tamaño (AFC) que subcontraten los servicios durante la temporada, estas deben entregar todos los registros antes mencionados.",https://ciruelacertificada.cl/?s=P136&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
137,P137,Básico,2,Social,Condiciones de Trabajo y Protección Social,Respetar los derechos laborales de las personas que trabajan en el predio,El predio respeta y adhiere a las leyes aplicables a los derechos laborales de su personal.,"Política o procedimiento de contratación del predio que indique lo siguiente:  - No supera el máximo de horas diarias y semanales permitidas.  - No supera el máximo de horas extras permitidas.  - Provee de pausas diarias para el almuerzo y el descanso.  - Otorga tiempo libre pagado por vacaciones y licencia por enfermedad.  - Posibilita la desvinculación voluntaria en casos específicos.  - Emplea prácticas de pago transparentes y justas.  En el caso de empresas de menor tamaño (AFC) que subcontraten los servicios durante la temporada, estas deben entregar todos los registros antes mencionados.",https://ciruelacertificada.cl/?s=P137&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
138,P138,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Respetar los derechos laborales de las personas que trabajan en el predio,"El predio promueve la equidad de género en su política de contrataciones, evidenciando que no existe solicitud específica de género en sus ofertas laborales.","Son válidos los siguientes documentos de validación.  - Política o procedimientos de contratación.  - Registro de ofertas laborales del último año en las que se evidencie que no se solicita que la persona a contratar, pertenezca a un género específico.",https://ciruelacertificada.cl/?s=P138&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
139,P139,Fundamental,5,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",Las personas que trabajan en el predio han sido capacitadas y conocen la legislación aplicable a sus labores.,"Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P139&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
140,P140,Básico,2,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional","El predio guarda los registros que acrediten el cumplimiento de las diferentes legislaciones o certificaciones, durante un plazo de al menos 5 años.",Inspección visual de documentos de registro archivados o documentos digitales almacenados.,https://ciruelacertificada.cl/?s=P140&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
141,P141,Básico,2,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional","El predio demuestra un título o contrato de uso de tierra claro en conformidad con las prácticas, uso de suelo y legislaciones nacionales.",Son válidos los siguientes documentos de validación.  - Escritura de propiedad que verifique el uso de suelo.  - Copia de instrumentos de ordenamiento territorial que verifiquen uso de suelo.,https://ciruelacertificada.cl/?s=P141&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
142,P142,Básico,2,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",El predio posee Derechos de Aprovechamiento de Aguas inscritos en conformidad con las legislaciones nacionales.,Son válidos los siguientes documentos de validación.  - Registro en el Conservador de Bienes Raíces (CBR).  - Catastro Público de Aguas de la DGA.  - Comprobante de acciones de aguas.,https://ciruelacertificada.cl/?s=P142&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
143,P143,Avanzado,4,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional","El predio identifica las legislaciones relacionadas con las obligaciones prioritarias para la empresa, a través de una matriz de riesgos.","Matriz con listado de normativas aplicables para la planta que incluya la siguiente información:  * Tipo de documento (ley, resolución, decreto, norma, etc.) y entidad o Ministerio.  * Identificación de normativas prioritarias.  * Acciones requeridas para verificar y asegurar su cumplimiento.  Adicionalmente, se debe mantener al menos una copia de las normativas prioritarias, ya sea como documento impreso y/o registro digital.",https://ciruelacertificada.cl/?s=P143&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
144,P144,Avanzado,4,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",El predio mantiene un diálogo permanente con las instituciones asociadas a las entidades legisladoras a nivel territorial o regional.,Son válidos los siguientes documentos:  - Actas de reuniones realizadas a través de la Ley de Lobby.  - Actas de reuniones con entidades legisladoras.,https://ciruelacertificada.cl/?s=P144&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
145,P145,Avanzado,4,Ética,Debida Diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",La empresa realiza un autodiagnóstico de conducta empresarial responsable y debida diligencia en derechos humanos.,Autodiagnóstico ejecutado con alguna de las herramientas de autoevaluación de debida diligencia de derechos humanos.,https://ciruelacertificada.cl/?s=P145&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
